UserID,summary,education_level,institution,major,skills,location,salary_expectation,desired_job
964496,Với kinh nghiệm 10 năm lái xe tải; mong muốn vị trí nhân viên lái xe tải ổn định lâu dài; tuân thủ luật giao thông và đảm bảo an toàn hàng hóa,trung cấp nghề,Trường trung cấp nghề,nghề lái xe,"Bằng lái xe hạng C, D, E; kinh nghiệm 5 năm lái xe tải, 5 năm lái xe khách; am hiểu xe tải, xử lý vấn đề xe; bảo quản xe sạch sẽ, bảo dưỡng thường xuyên; lái xe an toàn, tuân thủ luật giao thông; ghi nhớ nhanh, nhớ đường tốt; giao tiếp, thiết lập quan hệ khách hàng đồng nghiệp; giải quyết vấn đề; sắp xếp tổ chức quản lý công việc; chịu áp lực cao",Hà Nội,Thỏa thuận,Nhân viên lái xe bằng B2
986206,"Gắn bó lâu dài với công việc và doanh nghiệp; sát sao công việc, tích cực học hỏi; phát triển bản thân, đạt thành tựu; hòa hợp đồng nghiệp; bổ sung kỹ năng; nâng cao kỹ năng lái xe, tuân thủ luật giao thông; có kế hoạch thăng tiến, thăng lương; đảm bảo chất lượng, hạn chế sai sót; tích cực tăng ca, chuyên cần",trung cấp nghề,Trường trung cấp nghề,nghề lái xe,"Có chí tiến thủ; khả năng đi xa, đi dài ngày; sức khỏe đảm bảo cho vận tải; chăm chỉ, nhiệt tình, không ngại khó khăn; tinh thần trách nhiệm cao; chấp hành quy định công ty; thông thạo luật giao thông, thạo đường xá; giải quyết vấn đề; có thể tăng ca ngoài giờ; kiểm tra đánh giá tuyến vận chuyển, rút kinh nghiệm",Bình Dương,Thỏa thuận,Nhân viên lái xe bằng D
769632,"Tìm kiếm vị trí nhân viên hành chính môi trường doanh nghiệp; hoàn thiện tin học văn phòng, lập báo cáo biên bản sắp xếp hoạt động; phát huy năng lực hỗ trợ làm việc hiệu quả; học hỏi kinh nghiệm từ đồng nghiệp trưởng phòng; phấn đấu trưởng phòng hành chính nhân sự trong 4 năm tới",không nêu rõ,không nêu rõ,không nêu rõ,"Am hiểu quy trình hành chính nhân sự và quy tắc quản lý giấy tờ hồ sơ doanh nghiệp; quản lý thời gian, sắp xếp lập kế hoạch công việc hiệu quả; giao tiếp ứng xử tốt trong công việc hành chính; kỹ năng làm việc nhóm, sẵn sàng hỗ trợ người khác",Bắc Giang,Thỏa thuận,"Nhân viên văn phòng, khu công nghiệp sử dụng tiếng Trung"
981314,"Trở thành kỹ sư tốt trong sửa chữa xe vận tải; người hậu cần xuất sắc hỗ trợ chuyên chở hàng hóa; đảm bảo thực hiện công việc tốt do công ty giao; làm việc tinh thần trách nhiệm cao, chịu trách nhiệm sai sót; thăng chức quản lý đội ngũ bảo dưỡng trong 3-5 năm tới; xây dựng mối quan hệ tốt với đồng nghiệp cấp cao trên tinh thần đồng hành hợp tác phát triển",trung cấp nghề,Trung tâm dạy nghề,kỹ thuật ô tô,"Có khả năng chu toàn công việc, siêng năng, tỉ mỉ; kỹ năng bảo dưỡng sửa chữa xe tốt; am hiểu kỹ thuật khó mang tính chuyên môn cao; có khả năng quản lý công việc, từng nằm trong đội ngũ chuyên viên kỹ thuật xe tải; có chứng chỉ đảm bảo kỹ thuật sửa chữa bảo trì phương tiện ô tô xe máy; thân thiện hòa đồng cởi mở; khả năng công nghệ thông tin tin học văn phòng trung bình khá; tốt nghiệp nghiệp vụ kỹ thuật ôtô",Hà Nội,Thỏa thuận,Nhân viên lái xe hạng C
962892,"Có công việc nhiều cơ hội thăng tiến, môi trường chuyên nghiệp thân thiện; công việc phù hợp bản thân; có cơ hội thăng tiến tốt; phát huy khả năng vốn có; chế độ công ty đảm bảo",cao đẳng,Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP.Hồ Chí Minh,Công nghệ may,"Trung thực, cẩn thận, có óc sáng tạo; kỹ năng giao tiếp linh hoạt, khả năng thuyết trình trình bày; dễ dàng hòa nhập môi trường làm việc mới; kỹ năng tổ chức và quản lý công việc hiệu quả",Hồ Chí Minh,Thỏa thuận,Nhân viên thu mua
967782,Làm việc môi trường có yếu tố cạnh tranh tích cực; công việc phù hợp và ổn định; mong muốn chỗ làm có cơ hội thăng tiến tốt; rèn luyện kỹ năng bản thân tốt hơn; công ty có chế độ đãi ngộ tốt,đại học,Đại học Thương Mại,Kế Toán,"Trung thực, cẩn thận, có óc sáng tạo; kỹ năng giao tiếp linh hoạt, khả năng thuyết trình trình bày; có khả năng thích nghi nhanh với môi trường làm việc; quản lý thời gian hiệu quả; có kỹ năng tin học văn phòng",Bắc Giang,Thỏa thuận,Nhân viên Hành Chính Nhân Sự
986307,"Mục tiêu ngắn hạn: làm việc công ty lâu dài, học hỏi kiến thức từ đồng nghiệp để phát triển; trở thành lái xe chuyên nghiệp có hiểu biết rộng, có khả năng giúp đỡ đồng nghiệp khi cần; mục tiêu dài hạn: thăng tiến vị trí cao hơn trong công ty",trung cấp nghề,Trường trung cấp nghề,nghề lái xe,"Có thể ghi nhớ tên cùng vị trí đường ngay cả khi mới đi qua 1 lần; tinh thần trách nhiệm cao, biết ưu tiên đầu việc quan trọng hoàn thành kịp tiến độ; có khả năng thích nghi nhanh với môi trường làm việc; có thể làm việc theo ca, làm việc độc lập hoặc nhóm; có kỹ năng lái xe an toàn, tuân thủ luật giao thông",Bình Dương,Thỏa thuận,Nhân viên lái xe bằng C
990789,"Với 3 năm kinh nghiệm trong ngành vận tải lái xe; mong đóng góp ý tưởng giúp mở rộng đa dạng loại hình vận tải cho công ty, phục vụ nhiều nhu cầu khách hàng; muốn làm việc môi trường chuyên nghiệp như công ty ABC; mong muốn công việc ổn định gắn bó lâu dài",trung cấp nghề,Trung tâm dạy nghề,nghề lái xe,"Có bằng lái xe B2; nắm rõ quy định quy trình vận tải hành khách và hàng hóa, hiểu luật giao thông; đảm bảo lái xe an toàn trên mọi hành trình; xử lý tình huống nhanh linh hoạt; có sức khỏe tốt, chịu được áp lực công việc; có kinh nghiệm lái xe khách và xe tải; có kỹ năng giao tiếp tốt với khách hàng",Bình Dương,Thỏa thuận,Nhân viên lái xe hạng C
981988,Trau dồi thêm kinh nghiệm và kỹ năng; mong muốn chỗ làm ổn định lâu dài; có cơ hội thăng tiến tốt; có mức lương tốt; có cơ hội cống hiến bản thân tốt; làm việc trong môi trường chuyên nghiệp,trung học,ĐH Sài Gòn,không nêu rõ,"Ngoại ngữ, làm việc nhóm, thái độ làm việc; biết lắng nghe tiếp thu ý kiến đồng nghiệp và cấp trên; chăm chỉ chịu khó tìm hiểu vấn đề trong công việc và cuộc sống; tinh thần trách nhiệm trong công việc; có khả năng giao tiếp tốt","Hồ Chí Minh, Hồ Chí Minh, Hà Nội","5,000,000 - 10,000,000","Phục vụ, Phiên dịch"
966890,Được làm việc môi trường có yếu tố cạnh tranh tích cực; công việc ổn định để gắn bó lâu dài; phấn đấu trở thành nhân viên có vị trí cao hơn; rèn luyện kỹ năng bản thân tốt hơn; chế độ công ty đảm bảo,không nêu rõ,không nêu rõ,xây dựng (kinh nghiệm thực tế),"Có niềm say mê trong công việc; giao tiếp ứng xử với mọi người tốt; có khả năng thích nghi nhanh với môi trường làm việc; kỹ năng lên kế hoạch tổ chức sắp xếp công việc; khả năng chịu áp lực; có 2 năm kinh nghiệm xây dựng: khai thác tìm kiếm thông tin tiếp cận khách hàng; cập nhật nguồn thông tin dự án khách hàng tiềm năng; đánh giá phân tích lựa chọn dự án khả thi phù hợp chiến lược năng lực công ty; tiếp cận dự án khách hàng; thiết lập duy trì phát triển quan hệ khách hàng; chăm sóc duy trì quan hệ khách hàng hiện có; phát triển quan hệ khách hàng mới tiềm năng; đề xuất tham mưu; nắm chắc thông tin dự án khách hàng, đề ra kế hoạch triển khai; xây dựng triển khai kế hoạch đấu thầu; nghiên cứu hồ sơ phân tích yêu cầu; phối hợp chặt chẽ các phòng ban; thương thảo đàm phán ký kết hợp đồng",Hồ Chí Minh,Thỏa thuận,Nhân viên Kinh Doanh
