JobID,job_description,responsibilities,requirements,required_education_level,required_major,required_skills,salary_offer,job_location
0,"Thực hiện các công việc khác khi có yêu cầu từ cấp trên 1 Học vấn, kiến thức và trình độ chuyên môn:Tốt nghiệp đại học/cao đẳng2 Kinh nghiệm:Ứng viên có kinh nghiệm 1 ; Phối hợp với bộ phận Kho vận, Sales để nhận phản hồi từ khách hàng và tư vấn giải đáp thắc mắc khi cần Phối hợp với bộ phận IT để tối ưu website bán hàng","Những kỹ năng cần thiết cho công việcKỹ năng tin học văn phòng tốt (đặc biệt thành thạo Excel) Kỹ năng giao tiếp tốt, có tinh thần phối hợp, tư vấn và hỗ trợ Nhanh nhẹn, trung thực, cẩn thận ; Thực hiện các công việc khác khi có yêu cầu từ cấp trên 1 Học vấn, kiến thức và trình độ chuyên môn:Tốt nghiệp đại học/cao đẳng2 Kinh nghiệm:Ứng viên có kinh nghiệm 1","Thực hiện các công việc khác khi có yêu cầu từ cấp trên 1 Học vấn, kiến thức và trình độ chuyên môn:Tốt nghiệp đại học/cao đẳng2 Kinh nghiệm:Ứng viên có kinh nghiệm 1 ; Những kỹ năng cần thiết cho công việcKỹ năng tin học văn phòng tốt (đặc biệt thành thạo Excel) Kỹ năng giao tiếp tốt, có tinh thần phối hợp, tư vấn và hỗ trợ Nhanh nhẹn, trung thực, cẩn thận","1 Học vấn, kiến thức và trình độ chuyên môn:Tốt nghiệp đại học/cao đẳng2 Kinh nghiệm:Ứng viên có kinh nghiệm 1 ; Những kỹ năng cần thiết cho công việcKỹ năng tin học văn phòng tốt (đặc biệt thành thạo Excel) Kỹ năng giao tiếp tốt, có tinh thần phối hợp, tư vấn và hỗ trợ Nhanh nhẹn, trung thực, cẩn thận","Thực hiện các công việc khác khi có yêu cầu từ cấp trên ; 1 Học vấn, kiến thức và trình độ chuyên môn:Tốt nghiệp đại học/cao đẳng2 Kinh nghiệm:Ứng viên có kinh nghiệm 1",Thực hiện các công việc khác khi có yêu cầu từ cấp trên,"5,000,000 10,000,000",Hà Nội
1,"Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần Những người quan tâm đến thị trường No code và Low code mới và muốn làm việc trong lĩnh vực này ; Những người thích làm việc một cách hiệu quả, chủ động học hỏi trao dồi kiến thức ngành Có laptop cá nhân","code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng ; Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần Những người quan tâm đến thị trường No code và Low code mới và muốn làm việc trong lĩnh vực này","code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng ; Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần Những người quan tâm đến thị trường No code và Low code mới và muốn làm việc trong lĩnh vực này","Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin Thời gian làm việc từ thứ 2 đến thứ 6, thực tập đáp ứng tối thiểu 4 ngày/tuần ; Những người quan tâm đến thị trường No code và Low code mới và muốn làm việc trong lĩnh vực này Những người thích làm việc một cách hiệu quả, chủ động học hỏi trao dồi kiến thức ngành","code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng","code, thiết lập và xác định cấu hình hệ thống cho các yêu cầu riêng của từng khách hàng","1,000,000 5,000,000",Hồ Chí Minh
2,"Đảm bảo tuân thủ pháp luật trong hoạt động quản trị nguồn nhân lựcThiết kế, xây dựng hệ thống KPI (đánh giá hiệu quả công việc) và tiến hành hướng dẫn đánh giá định kỳ ; Hỗ trợ các nhu cầu kinh doanh thông qua việc tham gia phát triền và giưc chân lao độngXây dựng và quản lý kế hoạch lương thưởng, chế độ đãi ngộ và phúc lợi cho nhân viên","Kỹ năng lãnh đạo nhân viên lập kế hoạch giao tiếp tốtKỹ năng tổ chức và giám sát công việcKỹ năng phân tích, tổng hợp, làm báo cáo ; Đảm bảo tuân thủ pháp luật trong hoạt động quản trị nguồn nhân lựcThiết kế, xây dựng hệ thống KPI (đánh giá hiệu quả công việc) và tiến hành hướng dẫn đánh giá định kỳ","Hỗ trợ các nhu cầu kinh doanh thông qua việc tham gia phát triền và giưc chân lao độngXây dựng và quản lý kế hoạch lương thưởng, chế độ đãi ngộ và phúc lợi cho nhân viên ; Đảm bảo tuân thủ pháp luật trong hoạt động quản trị nguồn nhân lựcThiết kế, xây dựng hệ thống KPI (đánh giá hiệu quả công việc) và tiến hành hướng dẫn đánh giá định kỳ","Đảm bảo tuân thủ pháp luật trong hoạt động quản trị nguồn nhân lựcThiết kế, xây dựng hệ thống KPI (đánh giá hiệu quả công việc) và tiến hành hướng dẫn đánh giá định kỳ ; giao tiếp tốtKỹ năng tổ chức và giám sát công việcKỹ năng phân tích, tổng hợp, làm báo cáo Có khả năng chịu áp lực cao trong công việcTrung thực, chính trực, nhiệt tình công tác","Đảm bảo tuân thủ pháp luật trong hoạt động quản trị nguồn nhân lựcThiết kế, xây dựng hệ thống KPI (đánh giá hiệu quả công việc) và tiến hành hướng dẫn đánh giá định kỳ","Hỗ trợ các nhu cầu kinh doanh thông qua việc tham gia phát triền và giưc chân lao độngXây dựng và quản lý kế hoạch lương thưởng, chế độ đãi ngộ và phúc lợi cho nhân viên",Thỏa thuận,Hồ Chí Minh
3,"Tham gia vào quá trình phỏng vấn tuyển dụng, đàm phán chế độ đãi ngộ với những vị trí phụ trách quản Đánh giá nhân sự, đề xuất khen thưởng, kỷ luật 6 Các công việc khác ; Phối hợp với các bộ phận liên quan xây dựng mô tả công việc, quy trình chuẩn hướng dẫn nghiệp vụ cho từng vị trí công việc, triển khai áp dụng cho nhân viên làm việc theo đúng quy trình","Chịu trách nhiệm về mọi mặt trong công tác điều hành, bao gồm sự hài lòng về dịch vụ từ khách hàng và các phòng ban, bộ phận, nhân sự, kết quả tài chính, kinh doanh buôn bán, nguồn doanh thu và khoản lợi nhuận thu về ; Đảm bảo đội ngũ các bộ phận đáp ứng tốt nhất các yêu cầu công việc, thiết lập môi trường làm việc thân thiện, đảm bảo mọi quyền lợi cho nhân viên","Đảm bảo đội ngũ các bộ phận đáp ứng tốt nhất các yêu cầu công việc, thiết lập môi trường làm việc thân thiện, đảm bảo mọi quyền lợi cho nhân viên ; Phối hợp với các bộ phận liên quan xây dựng mô tả công việc, quy trình chuẩn hướng dẫn nghiệp vụ cho từng vị trí công việc, triển khai áp dụng cho nhân viên làm việc theo đúng quy trình","Kỹ năng lãnh đạo, truyển cảm hứng, các kỹ năng về quản trị Kỹ năng phân tích tổng hợp, lập kế hoạch Tầm nhìn chiến lược Thành thạo Tin học văn phòng, các phần mềm quản lý 1 ; Phối hợp với các bộ phận liên quan xây dựng mô tả công việc, quy trình chuẩn hướng dẫn nghiệp vụ cho từng vị trí công việc, triển khai áp dụng cho nhân viên làm việc theo đúng quy trình","Đảm bảo đội ngũ các bộ phận đáp ứng tốt nhất các yêu cầu công việc, thiết lập môi trường làm việc thân thiện, đảm bảo mọi quyền lợi cho nhân viên ; Kỹ năng lãnh đạo, truyển cảm hứng, các kỹ năng về quản trị Kỹ năng phân tích tổng hợp, lập kế hoạch Tầm nhìn chiến lược Thành thạo Tin học văn phòng, các phần mềm quản lý 1","Đảm bảo đội ngũ các bộ phận đáp ứng tốt nhất các yêu cầu công việc, thiết lập môi trường làm việc thân thiện, đảm bảo mọi quyền lợi cho nhân viên",Thỏa thuận,Đà Nẵng
4,"Trình độ tin học: Tin học văn phòng cơ bản Kĩ năng cần thiết:+ Kỹ năng giao tiếp/tư vấn/thuyết phục+ Kỹ năng Chăm sóc khách hàng ; Giới tính: Ưu tiên Nữ từ 22 35 tuổi Kinh nghiệm:+ Ưu tiên ứng viên có kinh nghiệm từng làm vị trí Lễ tân, Chăm sóc khách hàng, Telesale + Ứng viên không có kinh nghiệm (sẽ được đào tạo)","Trình độ tin học: Tin học văn phòng cơ bản Kĩ năng cần thiết:+ Kỹ năng giao tiếp/tư vấn/thuyết phục+ Kỹ năng Chăm sóc khách hàng ; Tính cách: vui vẻ, năng lượng, nhiệt tình, lịch sự Trình độ học vấn: Tốt nghiệp trung cấp trở lên các ngành quản trị kinh doanh, dịch vụ khách hàng, nhà hàng khách sạn",Trình độ tin học: Tin học văn phòng cơ bản Kĩ năng cần thiết:+ Kỹ năng giao tiếp/tư vấn/thuyết phục+ Kỹ năng Chăm sóc khách hàng,"Trình độ tin học: Tin học văn phòng cơ bản Kĩ năng cần thiết:+ Kỹ năng giao tiếp/tư vấn/thuyết phục+ Kỹ năng Chăm sóc khách hàng Trực quầy Lễ tân Tư vấn bán hàng gói membership cho khách hàng ; Tính cách: vui vẻ, năng lượng, nhiệt tình, lịch sự Trình độ học vấn: Tốt nghiệp trung cấp trở lên các ngành quản trị kinh doanh, dịch vụ khách hàng, nhà hàng khách sạn",Trình độ tin học: Tin học văn phòng cơ bản Kĩ năng cần thiết:+ Kỹ năng giao tiếp/tư vấn/thuyết phục+ Kỹ năng Chăm sóc khách hàng Trực quầy Lễ tân Tư vấn bán hàng gói membership cho khách hàng,Trình độ tin học: Tin học văn phòng cơ bản Kĩ năng cần thiết:+ Kỹ năng giao tiếp/tư vấn/thuyết phục+ Kỹ năng Chăm sóc khách hàng Trực quầy Lễ tân Tư vấn bán hàng gói membership cho khách hàng,"5,000,000 10,000,000",Hồ Chí Minh
5,"Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách Minh họa các ý tưởng thiết kế bằng cách sử dụng bảng phân cảnh, quy trình xử lý và sơ đồ trang web","kỹ năng giao tiếp mạnh mẽ để hợp tác với các bên liên quan khác nhau Kỹ năng quản lý thời gian tốt ; Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách Minh họa các ý tưởng thiết kế bằng cách sử dụng bảng phân cảnh, quy trình xử lý và sơ đồ trang web","Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách Minh họa các ý tưởng thiết kế bằng cách sử dụng bảng phân cảnh, quy trình xử lý và sơ đồ trang web","kỹ năng giao tiếp mạnh mẽ để hợp tác với các bên liên quan khác nhau Kỹ năng quản lý thời gian tốt Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách ; Xây dựng các nút điều hướng trang và các trường tìm kiếm Phát triển các mô hình và nguyên mẫu giao diện người dùng minh họa rõ ràng cách các trang web hoạt động và trông như thế nào","kỹ năng giao tiếp mạnh mẽ để hợp tác với các bên liên quan khác nhau Kỹ năng quản lý thời gian tốt Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách","kỹ năng giao tiếp mạnh mẽ để hợp tác với các bên liên quan khác nhau Kỹ năng quản lý thời gian tốt Thu thập và đánh giá các yêu cầu của người dùng với những sản phẩm, nội dung được phụ trách",Thỏa thuận,Hà Nội
6,"Đàm phán, thương lượng với khách hàng về giá cả, hợp đồng, tiến hành chốt đơn và hỗ trợ khách hàng ký hợp đồng Chăm sóc khách hàng sau khi bán hàng, duy trì mối quan hệ với khách hàng hiện tại ; Tìm kiến nguồn khách hàng mới, có nhu cầu xây dựng data, mở rộng phát triển quan hệ Thực hiện các công việc khác theo sự phân công của cấp trên","Đàm phán, thương lượng với khách hàng về giá cả, hợp đồng, tiến hành chốt đơn và hỗ trợ khách hàng ký hợp đồng Chăm sóc khách hàng sau khi bán hàng, duy trì mối quan hệ với khách hàng hiện tại ; Có tính tự giác và chủ động để hoàn thành tốt KPIs Có khả năng chịu áp lực được công việc Có kinh nghiệm tư vấn, bán hàng (online hoặc direct) dưới 1 năm kinh nghiệm","Tìm kiến nguồn khách hàng mới, có nhu cầu xây dựng data, mở rộng phát triển quan hệ Thực hiện các công việc khác theo sự phân công của cấp trên","Có tính tự giác và chủ động để hoàn thành tốt KPIs Có khả năng chịu áp lực được công việc Có kinh nghiệm tư vấn, bán hàng (online hoặc direct) dưới 1 năm kinh nghiệm ; Chấp nhận ứng viên mới tốt nghiệp hoặc đã tốt nghiệp cao đẳng/đại học liên quan tới các khối ngành kinh tế, muốn tìm kiếm cơ hội trau dồi kinh nghiệm về tư vấn, bán hàng Có khả năng giao tiếp rất tốt","Tìm kiến nguồn khách hàng mới, có nhu cầu xây dựng data, mở rộng phát triển quan hệ Thực hiện các công việc khác theo sự phân công của cấp trên","Tìm kiến nguồn khách hàng mới, có nhu cầu xây dựng data, mở rộng phát triển quan hệ Thực hiện các công việc khác theo sự phân công của cấp trên","5,000,000 10,000,000",Hồ Chí Minh
7,"Hỗ trợ đào tạo cho các ứng viên là sinh viên mới ra trường hoặc chuẩn bị ra trường , có đam mê với marketing, truyền thông, quảng cáo, Có kỹ năng viết bài, xử lý hình ảnh, video ở mức cơ bản","Hỗ trợ đào tạo cho các ứng viên là sinh viên mới ra trường hoặc chuẩn bị ra trường , có đam mê với marketing, truyền thông, quảng cáo, Có kỹ năng viết bài, xử lý hình ảnh, video ở mức cơ bản","Hỗ trợ đào tạo cho các ứng viên là sinh viên mới ra trường hoặc chuẩn bị ra trường , có đam mê với marketing, truyền thông, quảng cáo, Có kỹ năng viết bài, xử lý hình ảnh, video ở mức cơ bản","Hỗ trợ đào tạo cho các ứng viên là sinh viên mới ra trường hoặc chuẩn bị ra trường , có đam mê với marketing, truyền thông, quảng cáo, Có kỹ năng viết bài, xử lý hình ảnh, video ở mức cơ bản","Họp và báo cáo với leader, theo tuần theo tháng","Có laptop cá nhân Tìm kiếm, xử lý hình ảnh, video sản phẩm Lên chiến dịch quảng cáo Facebook Tik Tok, Youtube Phân tích và tìm kiếm sản phẩm phù hợp với khách hàng","10,000,000 15,000,000",Hà Nội
8,end servicesFluent in written and spoken EnglishExperience with AWS and GCP Our team work together to accomplish challenges,"end servicesFluent in written and spoken EnglishExperience with AWS and GCP Our team work together to accomplish challenges ; While you can always rely on your squad, you should be someone who can find creative solutions to problems on your own",You need to be someone who can show your passion and ambition while looking out for your squad mates You'll need to share our desire to learn and grow ; end servicesFluent in written and spoken EnglishExperience with AWS and GCP Our team work together to accomplish challenges,end servicesFluent in written and spoken EnglishExperience with AWS and GCP ; Our team work together to accomplish challenges You need to be someone who can show your passion and ambition while looking out for your squad mates You'll need to share our desire to learn and grow,end servicesFluent in written and spoken EnglishExperience with AWS and GCP,end servicesFluent in written and spoken EnglishExperience with AWS and GCP,Thỏa thuận,Hồ Chí Minh
9,"Nhân viên tư vấn bán hàng thời trang nữ công sở, hàng thiết kế của công ty Trưng bày các mặt hàng, đón khách, tư vấn khách Nhập thông tin khách hàng, sản phẩm vào phần mềm để in hóa đơn cho khách ; Trao đổi chi tiết khi phỏng vấn Ưu tiên các bạn nữ yêu thích kinh doanh Nhanh nhẹn, thật thà, giao tiếp tốt Có kinh nghiệm bán hàng quần áo công sở, bán hàng online","Nhân viên tư vấn bán hàng thời trang nữ công sở, hàng thiết kế của công ty Trưng bày các mặt hàng, đón khách, tư vấn khách Nhập thông tin khách hàng, sản phẩm vào phần mềm để in hóa đơn cho khách",Sử dụng được máy tính để nhập thông tin hóa đơn bán hàng trên phần mềm,"Ưu tiên các bạn nữ yêu thích kinh doanh Nhanh nhẹn, thật thà, giao tiếp tốt Có kinh nghiệm bán hàng quần áo công sở, bán hàng online","Nhập thông tin khách hàng, sản phẩm vào phần mềm để in hóa đơn cho khách Trao đổi chi tiết khi phỏng vấn","Nhập thông tin khách hàng, sản phẩm vào phần mềm để in hóa đơn cho khách Trao đổi chi tiết khi phỏng vấn","5,000,000 10,000,000",Yên Bái
