UserID,summary,education_level,institution,major,skills,location,salary_expectation,desired_job
964496,"Tôi mong muốn tìm được một công việc ổn định, được gắn bó lâu dài với công ty và trở thành một nhân viên xuất sắc, hỗ trợ công ty vận chuyển được nhiều hàng hóa hơn nữa",Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,"Lái xe an toàn và đảm bảo tuân thủ luật giao thông Khả năng ghi nhớ nhanh chóng, nhớ đường tốt Kỹ năng giao tiếp và thiết lập các mối quan hệ với khách hàng, đồng nghiệp Kỹ năng giải quyết vấn đề ; Sắp xếp và tổ chức, quản lý công việc hiệu quả, đảm bảo hàng hóa đến tay khách hàng nhanh nhất Chịu được áp lực cao trong công việc và khi lái xe",Hà Nội,Thỏa thuận,Nhân viên lái xe bằng B2
986206,"Có kế hoạch thăng tiến rõ ràng, đặt mục tiêu thăng lương trong thời gian gần nhất",Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,"Chăm chỉ, làm việc nhiệt tình, không quản ngại khó khăn, tinh thần trách nhiệm cao, chấp hành tốt các quy định mà công ty đề ra Thông thạo luật giao thông, thạo đường xá ; Tích cực giải quyết các vấn đề liên quan đến công việc Có thể tăng ca ngoài giờ làm Kiểm tra, đánh giá cẩn thận các tuyến vận chuyển đã thực hiện, chủ động rút kinh nghiệm cho các công tác sau",Bình Dương,Thỏa thuận,Nhân viên lái xe bằng D
769632,"Cố gắng hoàn thiện khả năng tin học văn phòng để lập các báo cáo, biên bản, sắp xếp các hoạt động của công ty một cách chuẩn xác nhất","Giới thiệu, tư vấn sản phẩm, bán hàng, chốt đơn ; Mô tả công việc: CÔNG TY CỔ PHẦN DƯỢC PHẨM AN NHIÊN Vị trí: Nhân viên kinh doanh Cung cấp thông tin sản phẩm, công dụng, giá cả, quá trình gửi hàng, theo dõi hành trình đơn","Giới thiệu, tư vấn sản phẩm, bán hàng, chốt đơn ; Mô tả công việc: CÔNG TY CỔ PHẦN DƯỢC PHẨM AN NHIÊN Vị trí: Nhân viên kinh doanh Cung cấp thông tin sản phẩm, công dụng, giá cả, quá trình gửi hàng, theo dõi hành trình đơn","Giới thiệu, tư vấn sản phẩm, bán hàng, chốt đơn","Có kỹ năng giao tiếp và ứng xử để áp dụng và phục vụ tốt vào trong công việc hành chính được giao Kỹ năng làm việc nhóm và có tinh thần sẵn sàng giúp đỡ và hỗ trợ mọi người trong công việc ; Am hiểu mọi quy trình về hành chính nhân sự và các quy tắc quản lý giấy tờ hồ sơ của doanh nghiệp Khả năng quản lý thời gian, sắp xếp và lập kế hoạch để quản lý công việc một cách hiệu quả",Bắc Giang,Thỏa thuận,"Nhân viên văn phòng, khu công nghiệp sử dụng tiếng Trung"
981314,Trở thành kỹ sư tốt trong công tác sửa chữa xe vận tải Người hậu cần xuất sắc hỗ trợ công tác chuyên chở hành hóa vận tải của công ty,Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,"Có khả năng chu toàn công việc, siêng năng, tỉ mỉ Kỹ năng bảo dưỡng, sửa chữa xe tốt Am hiểu các kỹ thuật khó, mang tính chuyên môn cao ; Có khả năng quản lý công việc, từng nằm trong đội ngũ chuyên viên kỹ thuật về xe tải Có chứng chỉ đảm bảo kỹ thuật sửa chữa, bảo trì các phương tiện (ô tô, xe máy)",Hà Nội,Thỏa thuận,Nhân viên lái xe hạng C
962892,Có cơ hội phát huy khả năng vốn có Chế độ công ty đảm bảo,Đơn vị đào tạo: Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP Hồ Chí Minh Chuyên ngành: Công nghệ may,Đơn vị đào tạo: Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP Hồ Chí Minh Chuyên ngành: Công nghệ may,Đơn vị đào tạo: Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP Hồ Chí Minh Chuyên ngành: Công nghệ may,"Có thể chịu được công việc có nhiều áp lực Kỹ năng làm việc nhóm hiệu quả Khả năng giải quyết vấn đề linh hoạt Thành thạo tin học văn phòng Kỹ năng lãnh đạo tốt ; Trung thực, cẩn thận, có óc sáng tạo Kỹ năng giao tiếp linh hoạt, có khả năng thuyết trình và trình bày Dễ dàng hòa nhập với môi trường làm việc mới Kỹ năng tổ chức và quản lý công việc hiệu quả",Hồ Chí Minh,Thỏa thuận,Nhân viên thu mua
967782,Công ty có chế độ đãi ngộ tốt,Đơn vị đào tạo: Đại học Thương Mại Chuyên ngành: Kế Toán,Đơn vị đào tạo: Đại học Thương Mại Chuyên ngành: Kế Toán,Đơn vị đào tạo: Đại học Thương Mại Chuyên ngành: Kế Toán,"Có khả năng làm việc dưới áp lực cao Kỹ năng làm việc nhóm cũng như làm việc độc lập Xử lý tình huống nhanh Kỹ năng thao tác bàn phím tốt Có tầm nhìn và sự quyết đoán ; Trung thực, cẩn thận, có óc sáng tạo Kỹ năng giao tiếp linh hoạt, có khả năng thuyết trình và trình bày Có khả năng thích nghi nhanh với môi trường làm việc Quản lý thời gian hiệu quả",Bắc Giang,Thỏa thuận,Nhân viên Hành Chính Nhân Sự
986307,"Mục tiêu ngắn hạn: Mong muốn được làm việc tại công ty lâu dài, được học hỏi kiến thức từ đồng nghiệp để bản thân ngày càng phát triển hơn",Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,"Là người siêng năng, chịu khó ; Có thể ghi nhớ tên cùng vị trí đường ngay cả khi mới đi qua 1 lần Là người có tinh thần trách nhiệm cao, biết ưu tiên các đầu việc quan trọng để hoàn thành kịp tiến độ cấp trên yêu cầu",Bình Dương,Thỏa thuận,Nhân viên lái xe bằng C
990789,"Với 3 năm kinh nghiệm đã tích lũy được trong ngành vận tải lái xe, tôi mong có thể đóng góp nhiều ý tưởng giúp mở rộng đa dạng các loại hình vận tải cho công ty, đem lại cơ hội phục vụ được nhiều nhu cầu của khách hàng",Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,Có sức khỏe tốt đảm bảo phục vụ công việc lái xe hiệu quả,Bình Dương,Thỏa thuận,Nhân viên lái xe hạng C
981988,Mong muốn tìm được nơi có cơ hội cống hiến bản thân tốt Mong muốn được làm việc trong môi trường chuyên nghiệp,Trung học Đơn vị đào tạo: ĐH Sài Gòn,Trung học Đơn vị đào tạo: ĐH Sài Gòn,Trung học Đơn vị đào tạo: ĐH Sài Gòn,"Tinh thần trách nhiệm trong công việc Chịu được áp lực trong công việc Hòa đồng, vui vẻ với đồng nghiệp ; Ngoại ngữ, làm việc nhóm, thái độ làm việc Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trên Chăm chỉ, chịu khó tìm hiểu các vấn đề trong công việc và cuộc sống","Hồ Chí Minh, Hồ Chí Minh, Hà Nội","5,000,000 10,000,000","Phục vụ, Phiên dịch"
966890,Chế độ công ty đảm bảo,"Mô tả công việc: Đã có 2 năm kinh nghiệm trong lĩnh vực Xây Dựng: Khai thác, tìm kiếm thông tin, tiếp cận khách hàng Cập nhật các nguồn thông tin dự án/khách hàng tiềm năng","Mô tả công việc: Đã có 2 năm kinh nghiệm trong lĩnh vực Xây Dựng: Khai thác, tìm kiếm thông tin, tiếp cận khách hàng Cập nhật các nguồn thông tin dự án/khách hàng tiềm năng","Mô tả công việc: Đã có 2 năm kinh nghiệm trong lĩnh vực Xây Dựng: Khai thác, tìm kiếm thông tin, tiếp cận khách hàng Cập nhật các nguồn thông tin dự án/khách hàng tiềm năng","Khả năng chịu được áp lực công việc Kỹ năng làm việc nhóm tốt Khả năng giải quyết vấn đề linh hoạt Kỹ năng thao tác bàn phím tốt Khả năng truyền đạt thông tin hiệu quả ; Có niềm say mê trong công việc Giao tiếp, ứng xử với mọi người tốt Có khả năng thích nghi nhanh với môi trường làm việc Kỹ năng lên kế hoạch, tổ chức sắp xếp công việc",Hồ Chí Minh,Thỏa thuận,Nhân viên Kinh Doanh
