JobID,job_description,responsibilities,requirements,required_education_level,required_major,required_skills,salary_offer,job_location
0,Sale Admin Website,"Thường xuyên cập nhật thay đổi chính sách bán hàng chương trình khuyến mại; làm việc với đối tác chiến lược mang lại chương trình collab hiệu quả; kiểm tra đơn hàng từ website TMĐT, xác thực đơn hàng chịu trách nhiệm điều phối; phối hợp phòng ban đảm bảo quy trình xử lý đơn hàng giao hàng; phối hợp Kho vận Sales nhận phản hồi khách hàng tư vấn giải đáp thắc mắc; phối hợp IT tối ưu website bán hàng; thực hiện công việc khác khi có yêu cầu từ cấp trên",Tốt nghiệp đại học/cao đẳng; có kinh nghiệm 1-2 năm vị trí tương tự; ưu tiên kinh nghiệm SEO Web; ưu tiên kinh nghiệm công ty TMĐT Bán lẻ; kỹ năng tin học văn phòng tốt đặc biệt thành thạo Excel; kỹ năng giao tiếp tốt có tinh thần phối hợp tư vấn hỗ trợ; nhanh nhẹn trung thực cẩn thận,đại học/cao đẳng,,"tin học văn phòng tốt, thành thạo Excel; giao tiếp tốt; tinh thần phối hợp tư vấn hỗ trợ; nhanh nhẹn trung thực cẩn thận; kinh nghiệm 1-2 năm vị trí tương tự; ưu tiên SEO Web; ưu tiên TMĐT Bán lẻ","5,000,000 - 10,000,000",Hà Nội
1,"Thực Tập Sinh Lập Trình (No-Code, Low-Code Platform)","Phối hợp bộ phận lập trình No-code Low-code phát triển ứng dụng sử dụng nền tảng; thiết lập xác định cấu hình hệ thống cho yêu cầu riêng từng khách hàng; tạo trang web bằng Webflow, Shopify, Burble, Adalo; xây dựng trang website thương mại điện tử EC, phát triển hệ thống web, phát triển ứng dụng điện thoại thông minh; tìm hiểu đăng tải thông tin về bốn nền tảng Nocode và Lowcode","Sinh viên năm 3, năm 4 hoặc sinh viên cao học năm 1, năm 2 chuyên ngành công nghệ thông tin; thời gian làm việc thứ 2 đến thứ 6, thực tập tối thiểu 4 ngày/tuần; quan tâm thị trường No-code Low-code; thích làm việc hiệu quả, chủ động học hỏi trao dồi kiến thức; có laptop cá nhân",đang học đại học/cao học năm 3-4 chuyên ngành công nghệ thông tin,công nghệ thông tin,"No-code, Low-code (Webflow, Shopify, Burble, Adalo); phát triển ứng dụng web và mobile; chủ động học hỏi; có laptop cá nhân; có thể thực tập tối thiểu 4 ngày/tuần","1,000,000 - 5,000,000",Hồ Chí Minh
2,HR Business Partner,"Xây dựng thực hiện chiến lược nhân sự phù hợp chiến lược kinh doanh tổng thể từng giai đoạn phát triển; giám sát quản lý hệ thống đánh giá thưởng phạt nhân viên; hỗ trợ nhu cầu kinh doanh qua tham gia phát triển giữ chân lao động; xây dựng quản lý kế hoạch lương thưởng chế độ đãi ngộ phúc lợi; quản lý xây dựng văn hóa doanh nghiệp; báo cáo Ban Lãnh Đạo hỗ trợ ra quyết định qua số liệu nhân sự; đảm bảo tuân thủ pháp luật quản trị nguồn nhân lực; thiết kế xây dựng hệ thống KPI đánh giá hiệu quả công việc, hướng dẫn đánh giá định kỳ, xây dựng chính sách khen thưởng theo tháng quý năm","Tốt nghiệp đại học chuyên ngành kinh tế, quản trị, hành chánh, luật; am hiểu sâu Luật Lao động, Luật doanh nghiệp, Luật BHXH, Luật Công đoàn; ít nhất 3 năm kinh nghiệm quản trị nhân sự hành chánh, ít nhất 1 năm vị trí tương đương; kỹ năng lãnh đạo nhân viên, lập kế hoạch, giao tiếp tốt; kỹ năng tổ chức giám sát công việc; kỹ năng phân tích tổng hợp làm báo cáo; chịu áp lực cao; trung thực, chính trực, nhiệt tình, sáng tạo",đại học,"kinh tế, quản trị, hành chánh, luật","Luật Lao động, Luật doanh nghiệp, Luật BHXH, Luật Công đoàn; quản trị nhân sự hành chánh 3+ năm; lãnh đạo, lập kế hoạch, giao tiếp; tổ chức giám sát; phân tích tổng hợp báo cáo; chịu áp lực; trung thực chính trực nhiệt tình sáng tạo",Thỏa thuận,Hồ Chí Minh
3,General Manager,"Lập triển khai kế hoạch kinh doanh: phối hợp bộ phận đặt chỉ tiêu định hướng lập kế hoạch; xây dựng mối quan hệ khách hàng trọng điểm; tham mưu giúp việc Ban Giám đốc mọi hoạt động quản lý điều hành; chịu trách nhiệm mọi mặt điều hành bao gồm sự hài lòng dịch vụ, kết quả tài chính, nguồn doanh thu lợi nhuận; duy trì đảm bảo hoạt động các bộ phận vận hành tốt; kiểm tra chất lượng phòng vệ sinh sảnh dịch vụ; giám sát điều chỉnh thái độ chất lượng phục vụ; kiểm soát bảo trì bảo dưỡng nâng cấp thiết bị tài sản; tối ưu hóa lợi nhuận, phát triển phương pháp tăng lợi nhuận tìm kiếm cơ hội mới; xây dựng quy trình hoạt động tiêu chuẩn, mô tả công việc quy trình chuẩn cho từng vị trí, triển khai áp dụng; thay đổi cải tiến quy trình phù hợp định hướng mới; chỉ đạo giải quyết sự cố vấn đề phát sinh; quản lý trực tiếp gián tiếp toàn bộ hệ thống nhân sự; đảm bảo đội ngũ đáp ứng yêu cầu; tham gia phỏng vấn tuyển dụng đàm phán chế độ đãi ngộ; đánh giá đề xuất khen thưởng kỷ luật; đại diện khách sạn làm việc đối tác cơ quan chức năng truyền thông","Tốt nghiệp đại học trở lên quản trị du lịch, quản trị kinh doanh hoặc chứng chỉ tương đương; ít nhất 3-5 năm kinh nghiệm vị trí tương đương khách sạn 3,4,5 sao; quan hệ đối tác tốt sâu rộng để phát triển; sử dụng 4 kỹ năng tiếng Anh thành thạo; kỹ năng lãnh đạo truyền cảm hứng, quản trị; kỹ năng phân tích tổng hợp lập kế hoạch; tầm nhìn chiến lược; thành thạo tin học văn phòng các phần mềm quản lý",đại học trở lên,"quản trị du lịch, quản trị kinh doanh hoặc tương đương",3-5 năm kinh nghiệm General Manager hoặc tương đương khách sạn 3-5 sao; tiếng Anh 4 kỹ năng thành thạo; lãnh đạo truyền cảm hứng quản trị; phân tích tổng hợp lập kế hoạch; tầm nhìn chiến lược; tin học văn phòng phần mềm quản lý; quan hệ đối tác tốt,Thỏa thuận,Đà Nẵng
4,Lễ Tân Gym Quận 12,"Trực quầy Lễ tân; tư vấn bán hàng gói membership cho khách hàng; gọi điện chúc sinh nhật hỏi thăm hội viên không đi tập, thông báo chương trình khuyến mãi; tiếp nhận xử lí phản hồi khách hàng về dịch vụ; trực trả lời fanpage, inbox, comment; check in check out hội viên; vệ sinh khu vực quầy lễ tân; các công việc khác theo sự phân công của quản lý","Giới tính ưu tiên Nữ 22-35 tuổi; ưu tiên kinh nghiệm Lễ tân, Chăm sóc khách hàng, Telesale; không có kinh nghiệm sẽ được đào tạo; tính cách vui vẻ, năng lượng, nhiệt tình, lịch sự; trình độ tốt nghiệp THPT trở lên; có khả năng giao tiếp tốt; có kỹ năng sử dụng máy tính, phần mềm văn phòng cơ bản; có thể làm việc theo ca, làm việc cuối tuần ngày lễ",tốt nghiệp THPT trở lên,,giao tiếp tốt; sử dụng máy tính phần mềm văn phòng cơ bản; làm việc theo ca cuối tuần ngày lễ; vui vẻ năng lượng nhiệt tình lịch sự; ưu tiên kinh nghiệm Lễ tân Chăm sóc khách hàng Telesale,"5,000,000 - 10,000,000",Hồ Chí Minh
5,Nhân Viên Thiết Kế Đồ Họa Graphic Design,"Thu thập đánh giá yêu cầu người dùng với sản phẩm nội dung phụ trách; minh họa ý tưởng thiết kế bằng bảng phân cảnh quy trình xử lý sơ đồ trang web; thiết kế phần tử giao diện người dùng đồ họa như menu, tab, widget, v.v.; phát triển giao diện người dùng đồ họa thông qua các công cụ thiết kế; xây dựng các trang đích, biểu ngữ, biểu tượng, đồ họa thông tin và các yếu tố đồ họa khác; chuẩn bị bản nháp sơ bộ và trình bày ý tưởng; phát triển đồ họa cho các chiến dịch tiếp thị sản phẩm; thiết kế logo, biểu tượng, bảng hiệu và các yếu tố nhận diện thương hiệu khác; cộng tác với các nhóm tiếp thị và sản phẩm để đảm bảo thiết kế phù hợp với thông điệp và chiến lược thương hiệu","Kiến thức về công cụ khung dây (Figma và InDesign); cập nhật kiến thức phần mềm thiết kế Adobe Illustrator và Photoshop; tinh thần đồng đội; kỹ năng giao tiếp mạnh mẽ để hợp tác với các bên liên quan; kỹ năng quản lý thời gian để đáp ứng thời hạn; có khả năng làm việc độc lập và theo nhóm; có khả năng làm việc trong môi trường năng động, thay đổi nhanh chóng; có khả năng học hỏi và phát triển kỹ năng mới; có khả năng làm việc dưới áp lực",,,"Figma, InDesign; Adobe Illustrator, Photoshop; thiết kế giao diện người dùng, đồ họa, banner, logo, nhận diện thương hiệu; tinh thần đồng đội; giao tiếp mạnh mẽ; quản lý thời gian; làm việc độc lập và nhóm; môi trường năng động thay đổi nhanh; học hỏi phát triển kỹ năng mới; chịu áp lực",Thỏa thuận,Hà Nội
6,Nhân Viên Tư Vấn Online,"Tìm hiểu nghiên cứu sản phẩm công ty để giới thiệu tư vấn giải đáp thắc mắc khách hàng; đàm phán thương lượng với khách hàng về giá cả hợp đồng, chốt đơn hỗ trợ khách hàng ký hợp đồng; chăm sóc khách hàng sau khi bán hàng; thực hiện các công việc khác theo yêu cầu của cấp trên","Chấp nhận ứng viên mới tốt nghiệp hoặc đã tốt nghiệp cao đẳng/đại học liên quan khối ngành kinh tế, muốn tìm kiếm cơ hội trau dồi kinh nghiệm tư vấn bán hàng; có khả năng giao tiếp rất tốt; có tính tự giác chủ động để hoàn thành công việc được giao; có khả năng làm việc nhóm; có khả năng làm việc dưới áp lực; có khả năng học hỏi và phát triển kỹ năng mới",cao đẳng/đại học,kinh tế hoặc liên quan,giao tiếp rất tốt; tư vấn bán hàng; tự giác chủ động; làm việc nhóm; chịu áp lực; học hỏi phát triển kỹ năng mới; ưu tiên mới tốt nghiệp hoặc đã tốt nghiệp cao đẳng/đại học kinh tế,"5,000,000 - 10,000,000",Hồ Chí Minh
7,Nhân Viên Marketing Tại Mỹ Đình - Hà Nội,"Tìm kiếm xử lý hình ảnh video sản phẩm; lên chiến dịch quảng cáo Facebook, Tik Tok, Youtube; phân tích tìm kiếm sản phẩm phù hợp với khách hàng; theo dõi đánh giá các chiến dịch hàng giờ hàng ngày để tối ưu chi phí tỉ lệ chuyển đổi; thực hiện các công việc khác theo yêu cầu của cấp trên","Nam/Nữ tuổi từ 18-24 tuổi, ưu tiên có kinh nghiệm chạy quảng cáo Facebook Ads, Tik Tok Ads; hỗ trợ đào tạo cho sinh viên mới ra trường hoặc chuẩn bị ra trường, có đam mê marketing truyền thông quảng cáo; có khả năng làm việc nhóm; có khả năng làm việc dưới áp lực; có khả năng học hỏi và phát triển kỹ năng mới; có laptop cá nhân",,,"Facebook Ads, Tik Tok Ads, Youtube Ads; xử lý hình ảnh video; phân tích đánh giá chiến dịch; tối ưu chi phí chuyển đổi; làm việc nhóm; chịu áp lực; học hỏi kỹ năng mới; có laptop; đam mê marketing truyền thông quảng cáo; ưu tiên 18-24 tuổi có kinh nghiệm ads","10,000,000 - 15,000,000",Hà Nội
8,"Lập Trình Viên IOS (Từ 5 Năm Kinh Nghiệm Trở Lên, Tiếng Anh Giao Tiếp) - Đối Tác Us","Phát triển ứng dụng iOS sử dụng Objective-C hoặc Swift, React Native, Cocoa Touch; làm việc với iOS frameworks như Core Data, Core Animation; offline storage, threading, performance tuning; làm việc với RESTful APIs để kết nối ứng dụng iOS với backend; làm việc với các dịch vụ bên thứ ba như Google Maps, Firebase; thiết kế kiến trúc ứng dụng, giao tiếp với các thành viên trong nhóm; tham gia review code, đảm bảo chất lượng code; tham gia họp với đối tác US, giao tiếp tiếng Anh","Ít nhất 5+ năm kinh nghiệm với Objective-C hoặc Swift, React Native, Cocoa Touch; kinh nghiệm với iOS frameworks Core Data, Core Animation; kinh nghiệm offline storage, threading, performance tuning; quen thuộc RESTful APIs; kinh nghiệm Google Maps, Firebase là lợi thế; khả năng giao tiếp tiếng Anh tốt; khả năng làm việc nhóm; khả năng học hỏi công nghệ mới; có khả năng làm việc độc lập; có khả năng làm việc dưới áp lực",,,"Objective-C hoặc Swift 5+ năm; React Native; Cocoa Touch; Core Data, Core Animation; offline storage, threading, performance tuning; RESTful APIs; Google Maps, Firebase (lợi thế); tiếng Anh giao tiếp tốt; làm việc nhóm; học hỏi công nghệ mới; làm việc độc lập; chịu áp lực",Thỏa thuận,Hồ Chí Minh
9,Nhân Viên Bán Hàng Thời Trang Nữ Tại Yên Bái,"Nhân viên tư vấn bán hàng thời trang nữ công sở, hàng thiết kế của công ty; trưng bày các mặt hàng, đón khách, tư vấn khách; nhập thông tin khách hàng, sản phẩm vào phần mềm để in hóa đơn cho khách; trao đổi chi tiết khi phỏng vấn","Ưu tiên các bạn nữ yêu thích kinh doanh; nhanh nhẹn, thật thà, giao tiếp tốt; có kinh nghiệm bán hàng quần áo công sở, bán hàng online; sử dụng được máy tính để nhập thông tin hóa đơn bán hàng trên phần mềm; có thể làm việc cuối tuần ngày lễ",,,bán hàng thời trang nữ công sở; tư vấn khách hàng; trưng bày hàng hóa; sử dụng máy tính phần mềm bán hàng in hóa đơn; nhanh nhẹn thật thà giao tiếp tốt; kinh nghiệm bán hàng quần áo công sở hoặc online (ưu tiên); làm việc cuối tuần ngày lễ; nữ yêu thích kinh doanh,"5,000,000 - 10,000,000",Yên Bái
