UserID,summary,education_level,institution,major,skills,location,salary_expectation,desired_job
964496,"Tôi mong muốn tìm được một công việc ổn định, được gắn bó lâu dài với công ty và trở thành một nhân viên xuất sắc, hỗ trợ công ty vận chuyển được nhiều hàng hóa hơn nữa ; Đồng thời, tôi có khả năng lái xe trong nhiều giờ đồng hồ và đảm bảo an toàn cho hàng hóa, do đó tôi mong muốn được ứng tuyển vào vị trí nhân viên lái xe tải tại công ty ABC ; Với kinh nghiệm 10 năm trong lĩnh vực lái xe tải, tôi đã thành thạo những kỹ năng lái xe và có kiến thức về lái xe vận tải đường dài ; Trong thời gian làm việc tại đây, tôi luôn tuân thủ các quy định của công ty và đi đúng luật giao thông, đảm bảo hàng hóa được vận chuyển nguyên vẹn đến tay khách hàng",Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,"Lái xe an toàn và đảm bảo tuân thủ luật giao thông Khả năng ghi nhớ nhanh chóng, nhớ đường tốt Kỹ năng giao tiếp và thiết lập các mối quan hệ với khách hàng, đồng nghiệp Kỹ năng giải quyết vấn đề",Hà Nội,Thỏa thuận,Nhân viên lái xe bằng B2
986206,"Gắn bó lâu dài với công việc cũng như doanh nghiệp tuyển dụng Sát sao với công việc, tích cực học hỏi từ mọi người Phát triển bản thân, đạt được những thành tựu tốt trong công ty Hòa hợp với mọi người trong công ty, bổ sung nhiều hơn những kỹ năng tốt Nâng cao hơn kỹ năng lái xe, đảm bảo tuân thủ luật giao thông để di chuyển phương tiện an toàn Có kế hoạch thăng tiến rõ ràng, đặt mục tiêu thăng lương trong thời gian gần nhất Đảm bảo chất lượng công tác thực hiện công việc tối ưu, hạn chế để xảy ra sai sót, ảnh hưởng đến công việc chung của công ty Tích cực tăng ca, trở thành nhân viên chuyên cần",Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,"Thông thạo luật giao thông, thạo đường xá Tích cực giải quyết các vấn đề liên quan đến công việc Có thể tăng ca ngoài giờ làm Kiểm tra, đánh giá cẩn thận các tuyến vận chuyển đã thực hiện, chủ động rút kinh nghiệm cho các công tác sau",Bình Dương,Thỏa thuận,Nhân viên lái xe bằng D
769632,"Mong muốn được phát huy hết các khả năng, năng lực của bản thân để hỗ trợ và làm việc một cách hiệu quả nhất ; Tìm kiếm một vị trí nhân viên hành chính và môi trường doanh nghiệp phù hợp để cống hiến sức lao động của bản thân ; Cố gắng hoàn thiện khả năng tin học văn phòng để lập các báo cáo, biên bản, sắp xếp các hoạt động của công ty một cách chuẩn xác nhất ; Học hỏi thêm những kinh nghiệm từ phía đồng nghiệp, trưởng phòng để không ngừng tích lũy phấn đấu trở thành trưởng phòng hành chính nhân sự trong vòng 4 năm tới","Xuất nhập hàng hóa, kiểm tra hàng tồn kho ; Giới thiệu, tư vấn sản phẩm, bán hàng, chốt đơn","Giới thiệu, tư vấn sản phẩm, bán hàng, chốt đơn ; Xuất nhập hàng hóa, kiểm tra hàng tồn kho ; Phối hợp với phòng Maketing lên kế hoạch, phương hướng đấy doanh thu, tăng hiệu quả công việc CÔNG TY TNHH VÒNG TRÒN ĐỎ Vị trí: Nhân viên bán hàng kiêm nhân viên kho, kê toán","Giới thiệu, tư vấn sản phẩm, bán hàng, chốt đơn ; Mô tả công việc: CÔNG TY CỔ PHẦN DƯỢC PHẨM AN NHIÊN Vị trí: Nhân viên kinh doanh Cung cấp thông tin sản phẩm, công dụng, giá cả, quá trình gửi hàng, theo dõi hành trình đơn ; Xuất nhập hàng hóa, kiểm tra hàng tồn kho",Có kỹ năng giao tiếp và ứng xử để áp dụng và phục vụ tốt vào trong công việc hành chính được giao Kỹ năng làm việc nhóm và có tinh thần sẵn sàng giúp đỡ và hỗ trợ mọi người trong công việc,Bắc Giang,Thỏa thuận,"Nhân viên văn phòng, khu công nghiệp sử dụng tiếng Trung"
981314,"Trở thành kỹ sư tốt trong công tác sửa chữa xe vận tải Người hậu cần xuất sắc hỗ trợ công tác chuyên chở hành hóa vận tải của công ty Đảm bảo thực hiện công việc tốt mà công ty, doanh nghiệp giao phó cho Làm việc với tinh thần trách nhiệm cao nhất, sẵn sàng chịu trách nhiệm nếu để xảy ra sai sót trong công tác làm việc Thăng chức làm người quản lý đội ngũ bảo dưỡng phương tiện vận tải trong thời gian từ khoảng 3 đến 5 năm sắp tới Xây dựng mối quan hệ tốt với đồng nghiệp và các cấp cao trong công ty trên tinh thần đồng hành",Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,"Có khả năng chu toàn công việc, siêng năng, tỉ mỉ Kỹ năng bảo dưỡng, sửa chữa xe tốt Am hiểu các kỹ thuật khó, mang tính chuyên môn cao Có khả năng quản lý công việc, từng nằm trong đội ngũ chuyên viên kỹ thuật về xe tải Có chứng chỉ đảm bảo kỹ thuật sửa chữa, bảo trì các phương tiện (ô tô, xe máy) Thân thiện, hòa đồng, cởi mở trong môi trường làm việc Khả năng công nghệ thông tin, tin học văn phòng ở mức độ trung bình",Hà Nội,Thỏa thuận,Nhân viên lái xe hạng C
962892,"Có một công việc có nhiều cơ hội thăng tiến, môi trường làm việc chuyên nghiệp, thân thiện Có công việc phù hợp với bản thân Mong muốn tìm được chỗ làm có cơ hội thăng tiến tốt",Đơn vị đào tạo: Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP Hồ Chí Minh Chuyên ngành: Công nghệ may,Đơn vị đào tạo: Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP Hồ Chí Minh Chuyên ngành: Công nghệ may,Đơn vị đào tạo: Cao Đẳng Kinh Tế Kỹ Thuật Vinatex TP Hồ Chí Minh Chuyên ngành: Công nghệ may,Có thể chịu được công việc có nhiều áp lực Kỹ năng làm việc nhóm hiệu quả Khả năng giải quyết vấn đề linh hoạt Thành thạo tin học văn phòng Kỹ năng lãnh đạo tốt,Hồ Chí Minh,Thỏa thuận,Nhân viên thu mua
967782,Được làm việc trong môi trường có nhiều yếu tố cạnh tranh tích cực Công việc phù hợp và ổn định Mong muốn tìm được chỗ làm có cơ hội thăng tiến tốt Rèn luyện kỹ năng bản thân tốt hơn,Đơn vị đào tạo: Đại học Thương Mại Chuyên ngành: Kế Toán,Đơn vị đào tạo: Đại học Thương Mại Chuyên ngành: Kế Toán,Đơn vị đào tạo: Đại học Thương Mại Chuyên ngành: Kế Toán,Có khả năng làm việc dưới áp lực cao Kỹ năng làm việc nhóm cũng như làm việc độc lập Xử lý tình huống nhanh Kỹ năng thao tác bàn phím tốt Có tầm nhìn và sự quyết đoán,Bắc Giang,Thỏa thuận,Nhân viên Hành Chính Nhân Sự
986307,"Mục tiêu nghề nghiệp ngắn hạn: Mong muốn được làm việc tại công ty lâu dài, được học hỏi kiến thức từ đồng nghiệp để bản thân ngày càng phát triển hơn ; Mục tiêu dài hạn: Muốn trở thành một lái xe nắm rõ tất cả các nghiệp vụ cơ bản thuộc phạm vi trách nhiệm của mình Đồng thời, muốn gắn bó và phát triển lâu dài với công ty ; Ngoài ra, tôi cũng mong muốn mình có thể trở thành một lái xe chuyên nghiệp với sự hiểu biết rộng, từ đó có đủ khả năng để giúp đỡ đồng nghiệp khi họ gặp khó khăn trong công việc ; Vận tải mà công ty đang có",Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,Đơn vị đào tạo: Trường trung cấp nghề,"Là người siêng năng, chịu khó",Bình Dương,Thỏa thuận,Nhân viên lái xe bằng C
990789,"Ngoài ra, tôi cũng muốn được làm việc tại môi trường chuyên nghiệp như công ty để phát triển năng lực chuyên môn của mình tại lĩnh vực vận tải ; Hy vọng sẽ sớm thích nghi với văn hóa doanh nghiệp và chăm chỉ làm việc để được hưởng một chế độ làm việc tốt tại công ty ; Với 3 năm kinh nghiệm đã tích lũy được trong ngành vận tải",Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,Đơn vị đào tạo: Trung tâm dạy nghề,Có sức khỏe tốt đảm bảo phục vụ công việc lái xe hiệu quả,Bình Dương,Thỏa thuận,Nhân viên lái xe hạng C
981988,Trau dồi thêm kinh nghiệm và kĩ năngMong muốn tìm được chỗ làm ổn định lâu dàiMong muốn tìm được chỗ làm có cơ hội thăng tiến tốtMong muốn tìm được chỗ làm có mức lương tốtMong muốn tìm được nơi có cơ hội cống hiến bản thân tốtMong muốn được làm việc trong môi trường chuyên nghiệp,Trung học Đơn vị đào tạo: ĐH Sài Gòn,Trung học Đơn vị đào tạo: ĐH Sài Gòn,Trung học Đơn vị đào tạo: ĐH Sài Gòn,"Ngoại ngữ, làm việc nhóm, thái độ làm việcBiết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênChăm chỉ, chịu khó tìm hiểu các vấn đề trong công việc và cuộc sốngTinh thần trách nhiệm trong công việcChịu được áp lực trong công việcHòa đồng, vui vẻ với đồng nghiệp","Hồ Chí Minh, Hồ Chí Minh, Hà Nội","5,000,000 10,000,000","Phục vụ, Phiên dịch"
966890,Được làm việc trong môi trường có nhiều yếu tố cạnh tranh tích cực Công việc ổn định để gắn bó lâu dài Phấn đấu trở thành nhân viên có vị trí cao hơn Rèn luyện kỹ năng bản thân tốt hơn,"Mô tả công việc: Đã có 2 năm kinh nghiệm trong lĩnh vực Xây Dựng: Khai thác, tìm kiếm thông tin, tiếp cận khách hàng Cập nhật các nguồn thông tin dự án/khách hàng tiềm năng ; Nghiên cứu hồ sơ, phân tích các yêu cầu của hồ sơ, nhu cầu của khách hàng Phối hợp chặt chẽ với các phòng ban, bộ phận khác Thương thảo, đàm phán để đi đến ký kết hợp đồng ; Nắm chắc thông tin dự án/khách hàng, từ đó đề ra kế hoạch triển khai công việc để dự án thành công Xây dựng và triển khai kế hoạch đấu thầu","Nghiên cứu hồ sơ, phân tích các yêu cầu của hồ sơ, nhu cầu của khách hàng Phối hợp chặt chẽ với các phòng ban, bộ phận khác Thương thảo, đàm phán để đi đến ký kết hợp đồng ; Đánh giá, phân tích và lựa chọn những dự án có tính khả thi và phù hợp với chiến lược, năng lực của công ty Tiếp cận dự án/khách hàng Thiết lập, duy trì, phát triển quan hệ với khách hàng ; Mô tả công việc: Đã có 2 năm kinh nghiệm trong lĩnh vực Xây Dựng: Khai thác, tìm kiếm thông tin, tiếp cận khách hàng Cập nhật các nguồn thông tin dự án/khách hàng tiềm năng","Mô tả công việc: Đã có 2 năm kinh nghiệm trong lĩnh vực Xây Dựng: Khai thác, tìm kiếm thông tin, tiếp cận khách hàng Cập nhật các nguồn thông tin dự án/khách hàng tiềm năng ; Nghiên cứu hồ sơ, phân tích các yêu cầu của hồ sơ, nhu cầu của khách hàng Phối hợp chặt chẽ với các phòng ban, bộ phận khác Thương thảo, đàm phán để đi đến ký kết hợp đồng",Khả năng chịu được áp lực công việc Kỹ năng làm việc nhóm tốt Khả năng giải quyết vấn đề linh hoạt Kỹ năng thao tác bàn phím tốt Khả năng truyền đạt thông tin hiệu quả,Hồ Chí Minh,Thỏa thuận,Nhân viên Kinh Doanh
